STATE_ID,BLOCK_ID,hab_num,hab_outside,osm_num,greater,osm_near,osm_far,hab_near,hab_far
13,5090,50,10,11,hab,11,0,11,39
13,5680,57,3,13,hab,12,1,13,44
13,1740,38,2,17,hab,16,1,15,23
13,558,49,6,3,hab,2,1,2,47
13,7444,37,1,37,osm,23,14,23,14
13,1386,51,1,4,hab,4,0,4,47
13,4377,41,0,4,hab,4,0,4,37
13,5184,55,6,16,hab,16,0,17,38
13,3814,25,0,4,hab,3,1,4,21
13,3335,13,2,1,hab,1,0,1,12
13,2614,27,2,8,hab,8,0,10,17
13,1,102,2,90,hab,85,5,91,11
13,2463,70,5,17,hab,17,0,20,50
13,5166,116,2,65,hab,60,5,75,41
13,3012,62,2,6,hab,6,0,7,55
13,2719,54,1,51,hab,47,4,46,8
13,273,49,4,2,hab,1,1,1,48
13,944,131,25,4,hab,4,0,8,123
13,1250,171,5,7,hab,3,4,4,167
13,4906,85,2,3,hab,3,0,2,83
13,2330,113,16,42,hab,37,5,44,69
13,4023,83,5,0,hab,0,0,0,83
13,5235,65,5,0,hab,0,0,0,65
13,4931,54,4,17,hab,15,2,16,38
13,5730,56,7,14,hab,13,1,13,43
13,2057,106,19,38,hab,36,2,41,65
13,4994,28,1,6,hab,6,0,7,21
13,2621,31,2,16,hab,15,1,15,16
13,4855,52,5,10,hab,7,3,8,44
13,2588,63,5,57,hab,45,12,41,22
13,2537,39,1,3,hab,3,0,3,36
13,2508,67,3,1,hab,1,0,1,66
13,4753,24,0,8,hab,7,1,7,17
13,5239,46,1,3,hab,2,1,2,44
13,6162,48,1,14,hab,13,1,13,35
13,82,21,0,6,hab,6,0,6,15
13,4212,60,0,47,hab,46,1,46,14
13,3758,43,0,18,hab,18,0,20,23
13,2488,86,2,2,hab,2,0,2,84
13,397,63,1,10,hab,9,1,10,53
13,5263,40,3,1,hab,1,0,1,39
13,725,34,0,6,hab,6,0,8,26
13,4196,34,2,2,hab,2,0,4,30
13,35,23,4,15,hab,15,0,15,8
13,6193,28,3,21,hab,19,2,22,6
13,2124,60,4,7,hab,7,0,7,53
13,2125,23,3,0,hab,0,0,0,23
13,15,25,0,12,hab,9,3,8,17
13,2230,49,3,6,hab,6,0,7,42
13,2231,42,1,15,hab,11,4,11,31
13,630,41,0,31,hab,29,2,29,12
13,2081,70,11,12,hab,11,1,11,59
13,5712,71,14,38,hab,30,8,23,48
13,7166,79,1,9,hab,8,1,9,70
13,7162,84,4,6,hab,5,1,6,78
13,7164,107,3,11,hab,4,7,4,103
13,4601,80,1,40,hab,35,5,37,43
13,1766,56,3,9,hab,8,1,8,48
13,7165,90,4,11,hab,10,1,12,78
13,7163,67,5,12,hab,11,1,13,54
13,4519,43,13,8,hab,7,1,8,35
13,1767,47,8,23,hab,17,6,17,30
13,7157,49,0,36,hab,35,1,37,12
13,2790,86,5,70,hab,63,7,61,25
13,3429,46,1,8,hab,6,2,6,40
13,4306,83,1,4,hab,4,0,4,79
13,6132,45,5,9,hab,8,1,7,38
13,7441,64,6,11,hab,10,1,10,54
13,4195,47,1,3,hab,2,1,3,44
13,629,54,5,33,hab,27,6,31,23
13,4759,132,8,14,hab,12,2,14,118
13,7443,26,8,1,hab,1,0,1,25
13,5118,67,6,41,hab,32,9,32,35
13,7161,71,18,30,hab,28,2,28,43
13,7452,46,12,36,osm,30,6,18,28
13,4087,47,0,20,hab,20,0,21,26
13,1920,62,6,9,hab,7,2,6,56
13,2298,110,1,2,hab,2,0,2,108
13,825,23,3,2,hab,1,1,1,22
13,280,53,2,44,hab,41,3,45,8
13,569,73,0,5,hab,5,0,7,66
13,890,27,1,34,osm,26,8,25,2
13,6124,52,1,41,hab,37,4,38,14
13,466,80,3,57,hab,45,12,25,55
13,1761,67,3,73,osm,40,33,24,43
13,7159,37,5,37,osm,25,12,22,15
13,7160,84,6,42,hab,37,5,33,51
13,7439,39,3,31,hab,27,4,28,11
13,7156,70,1,23,hab,20,3,22,48
13,671,32,1,14,hab,12,2,12,20
13,867,61,6,36,hab,33,3,36,25
13,7442,33,2,3,hab,3,0,3,30
13,7158,54,5,39,hab,38,1,39,15
13,2586,32,0,16,hab,15,1,17,15
13,5701,40,0,6,hab,6,0,7,33
13,5524,78,15,5,hab,5,0,6,72
13,129,109,1,58,hab,54,4,51,58
13,4160,97,4,0,hab,0,0,0,97
13,7440,63,8,25,hab,25,0,28,35
13,7451,46,4,7,hab,5,2,6,40
13,1974,34,0,4,hab,3,1,4,30
13,7450,18,0,12,hab,10,2,11,7
13,550,25,0,11,hab,8,3,6,19
13,5313,34,6,3,hab,3,0,3,31
13,2316,31,0,2,hab,1,1,1,30
13,3493,36,0,18,hab,14,4,13,23
13,4949,44,0,2,hab,1,1,1,43
13,3927,14,2,8,hab,3,5,2,12
13,3896,60,5,52,hab,46,6,51,9
13,7448,41,6,35,hab,33,2,33,8
13,7447,25,0,24,hab,20,4,21,4
13,4685,63,1,1,hab,1,0,2,61
13,5991,112,8,60,hab,50,10,56,56
13,3324,63,10,39,hab,37,2,38,25
13,7445,62,9,3,hab,3,0,3,59
13,5506,70,3,6,hab,5,1,5,65
13,338,50,3,3,hab,3,0,4,46
13,7446,21,0,0,hab,0,0,0,21
13,4152,68,1,45,hab,41,4,40,28
13,4320,50,1,7,hab,6,1,6,44
28,6954,148,1,139,hab,120,19,130,18
28,6955,172,0,117,hab,109,8,159,13
28,6958,76,0,8,hab,4,4,10,66
28,6957,147,2,5,hab,3,2,11,136
28,6959,163,4,4,hab,4,0,9,154
28,6960,62,0,3,hab,2,1,9,53
28,6961,72,0,64,hab,51,13,64,8
28,6962,62,0,56,hab,48,8,56,6
28,4254,99,0,18,hab,16,2,23,76
28,5561,36,0,39,osm,37,2,36,0
28,1341,107,0,79,hab,69,10,74,33
28,6963,28,0,41,osm,26,15,26,2
28,6964,65,0,41,hab,35,6,38,27
28,5363,57,0,57,hab,51,6,52,5
28,3149,149,0,155,osm,137,18,141,8
28,4042,164,0,130,hab,126,4,134,30
28,6484,93,0,112,osm,83,29,85,8
28,4733,102,0,11,hab,10,1,13,89
28,653,73,0,76,osm,72,4,71,2
28,872,83,0,35,hab,35,0,38,45
28,1637,71,0,1,hab,1,0,1,70
28,2615,79,0,44,hab,43,1,54,25
28,3458,113,1,34,hab,32,2,33,80
28,1913,120,0,115,hab,114,1,118,2
28,3960,129,0,18,hab,16,2,26,103
28,3965,82,0,87,osm,76,11,78,4
28,3704,49,0,42,hab,39,3,43,6
28,4045,94,0,48,hab,43,5,47,47
28,5315,74,0,87,osm,73,14,71,3
28,5379,81,0,101,osm,83,18,78,3
28,2935,72,0,67,hab,67,0,69,3
28,3174,117,1,83,hab,80,3,91,26
28,2996,88,2,77,hab,77,0,76,12
28,891,136,0,91,hab,88,3,93,43
28,3532,149,0,8,hab,7,1,8,141
28,310,78,0,6,hab,6,0,9,69
28,174,115,2,6,hab,5,1,7,108
28,152,88,0,55,hab,51,4,53,35
28,3432,96,0,9,hab,9,0,11,85
28,502,99,3,8,hab,8,0,10,89
28,5670,107,1,101,hab,94,7,100,7
28,892,187,0,58,hab,57,1,69,118
28,660,114,0,33,hab,29,4,30,84
28,3442,139,0,57,hab,54,3,66,73
28,1783,102,1,177,osm,122,55,94,8
28,5413,52,0,41,hab,39,2,47,5
28,4102,136,0,44,hab,43,1,49,87
28,4724,105,0,6,hab,6,0,8,97
28,5002,116,0,151,osm,131,20,116,0
28,5880,47,0,48,osm,46,2,46,1
28,5351,38,0,38,hab,36,2,36,2
28,2087,85,0,145,osm,95,50,81,4
28,434,121,0,3,hab,2,1,4,117
28,847,39,0,33,hab,31,2,36,3
28,5780,42,0,39,hab,38,1,38,4
28,3588,102,0,57,hab,55,2,57,45
28,3615,85,1,133,osm,90,43,78,7
28,4359,115,0,3,hab,3,0,5,110
28,5512,103,1,2,hab,2,0,6,97
28,1134,96,0,62,hab,61,1,65,31
28,5798,162,0,10,hab,10,0,10,152
28,2749,152,0,11,hab,11,0,16,136
28,4357,82,0,37,hab,35,2,36,46
28,2245,182,1,41,hab,39,2,46,136
28,51,135,0,93,hab,88,5,96,39
28,2107,90,0,2,hab,2,0,2,88
28,1464,158,0,11,hab,11,0,15,143
28,5881,72,0,22,hab,17,5,24,48
28,1876,139,1,14,hab,14,0,20,119
28,1059,90,0,83,hab,79,4,84,6
28,5893,111,0,60,hab,59,1,60,51
28,379,50,0,47,hab,37,10,44,6
28,766,27,0,27,hab,23,4,24,3
28,4620,88,0,90,osm,77,13,79,9
28,2246,114,0,53,hab,50,3,51,63
28,3148,43,0,46,osm,41,5,41,2
28,5197,172,0,147,hab,125,22,122,50
28,4628,60,0,65,osm,58,7,58,2
